Model,CV_Mean,CV_Std,CV_Fold1,CV_Fold2,CV_Fold3,CV_Fold4,CV_Fold5
Logistic Regression,0.951,0.008406346808612337,0.95,0.9666666666666667,0.9416666666666667,0.95,0.9466666666666667
Naive Bayes,0.9536666666666667,0.007845734863959869,0.955,0.9666666666666667,0.9433333333333334,0.955,0.9483333333333334
SVM (Linear),0.9523333333333334,0.006200358412579413,0.9533333333333334,0.9616666666666667,0.9433333333333334,0.955,0.9483333333333334
Random Forest,0.9013333333333335,0.017172329163188334,0.9216666666666666,0.92,0.8933333333333333,0.8766666666666667,0.895
Gradient Boosting,0.9403333333333335,0.005906681715556421,0.9416666666666667,0.95,0.935,0.9416666666666667,0.9333333333333333
Decision Tree,0.8816666666666666,0.00894427190999915,0.8833333333333333,0.8766666666666667,0.8983333333333333,0.8766666666666667,0.8733333333333333
KNN,0.9433333333333334,0.007071067811865461,0.945,0.955,0.9333333333333333,0.9433333333333334,0.94
AdaBoost,0.8496666666666666,0.005416025603090637,0.845,0.85,0.8466666666666667,0.86,0.8466666666666667
